,collection_date_ww,state,accession,n_clusters_1_ldm,cluster_depth_1_ldm,n_clusters_2plus_ldm,cluster_depth_2plus_ldm,p_lineage_present
0,2023-04-21,NE,SRR24481849,2,10,0,0,0.14007835839493052
1,2022-12-27,WA,SRR23038283,5,58,0,0,0.13480565353707855
2,2023-03-01,NM,SRR23855894,7,42,0,0,1.0
3,2022-12-18,SD,SRR22973579,3,3,0,0,1.0
4,2022-12-28,TX,SRR23386460,3,202,0,0,0.4812837858179875
5,2022-11-08,CA,SRR25300438,1,1,0,0,
6,2023-09-14,KY,SRR26339428,0,0,0,0,
7,2023-01-08,OH,SRR24057816,2,3,0,0,0.23794972825013955
8,2022-11-13,AL,SRR22909249,0,0,0,0,
9,2023-03-08,GA,SRR24049299,6,29,0,0,1.0
10,2023-03-14,WI,SRR23982106,2,2,0,0,0.10318264823881436
11,2023-02-05,OR,SRR26521691,0,0,0,0,
12,2022-12-27,PA,SRR23037807,4,4,0,0,0.1863956886770247
13,2023-02-06,MS,SRR23588312,6,10,0,0,0.5836173874999732
14,2023-05-24,MO,SRR24834777,8,10,0,0,1.0
15,2022-12-27,NC,SRR23387159,21,473,0,0,1.0
16,2023-02-08,OK,SRR23855817,4,288,0,0,0.6129673104717629
17,2023-09-11,WV,SRR26339468,2,279,0,0,0.34881671784072454
18,2022-12-05,NY,SRR22910670,2,3,0,0,1.0
19,2023-01-16,IN,SRR23309539,10,3081,0,0,1.0
20,2023-01-15,KS,SRR23309319,37,6421,0,0,1.0
21,2023-09-11,ID,SRR26339474,4,65,0,0,
22,2023-02-01,NV,SRR23458601,2,44,0,0,0.24265542523167505
23,2022-12-12,VT,SRR22910048,2,3,0,0,1.0
24,2023-01-30,MT,SRR23458494,2,89,0,0,0.26586730390283675
25,2023-01-22,MN,SRR23364361,3,10,0,0,0.43334078810429877
26,2023-05-15,ND,SRR24727413,4,8,0,0,1.0
27,2022-12-26,HI,SRR23102766,1,1,0,0,
28,2022-12-18,AZ,SRR22973589,2,3,0,0,0.1999612301143112
29,,DE,,0,0,0,0,
30,2022-12-26,RI,SRR23038334,2,2,0,0,1.0
31,2023-01-12,CO,SRR24455710,17,821,0,0,1.0
32,2023-06-22,UT,SRR25429859,26,402,0,0,1.0
33,2022-10-27,VA,SRR22401376,3,15,0,0,1.0
34,2023-03-14,WY,SRR23982090,2,2,0,0,0.6055848719469955
35,2022-12-26,LA,SRR23038314,0,0,0,0,
36,2023-09-11,MI,SRR26339463,2,318,0,0,0.34881671784072454
37,2022-12-11,MA,SRR22910066,1,1,0,0,0.10318264823881436
38,2023-01-16,FL,SRR23309410,2,2,0,0,0.42194363016307135
39,2022-10-23,CT,SRR22401669,0,0,0,0,
40,2023-01-22,NJ,SRR23364419,5,6,0,0,0.9628156592543273
41,2022-12-20,MD,SRR22973638,0,0,0,0,
42,2023-01-18,SC,SRR23899218,10,10,0,0,0.6477600001574515
43,2023-01-22,ME,SRR23716844,1,1,0,0,
44,2023-01-03,NH,SRR23102902,4,5,0,0,1.0
45,2023-02-07,IA,SRR24126547,1,1,0,0,0.14007835839493052
46,2022-12-26,AR,SRR23038256,1,1,0,0,0.10318264823881436
47,2023-01-23,TN,SRR23752733,2,2,0,0,0.10318264823881436
48,2023-02-21,IL,SRR23752760,6,6,0,0,1.0
49,2023-02-21,AK,SRR23752703,5,8,0,0,0.9688949104962085
